city,d_kings_landing,d_astapor,d_winterfell,trips_in_first_30_days,signup_date,!day of week,!day of week num,avg_rating_of_driver,avg_surge,last_trip_date,is_active,d_iphone,d_android,surge_pct,is_uber_black_user,weekday_pct,avg_dist,avg_rating_by_driver
King's Landing,1,0,0,4,1/25/2014,Saturday,7,4.7,1.1,6/17/2014,1,1,0,15.4,1,46.2,3.67,5
Astapor,0,1,0,0,1/29/2014,Wednesday,4,5,1,5/5/2014,0,0,1,0,0,50,8.26,5
Astapor,0,1,0,3,1/6/2014,Monday,2,4.3,1,1/7/2014,0,1,0,0,0,100,0.77,5
King's Landing,1,0,0,9,1/10/2014,Friday,6,4.6,1.14,6/29/2014,1,1,0,20,1,80,2.36,4.9
Winterfell,0,0,1,14,1/27/2014,Monday,2,4.4,1.19,3/15/2014,0,0,1,11.8,0,82.4,3.13,4.9
Winterfell,0,0,1,2,1/9/2014,Thursday,5,3.5,1,6/6/2014,1,1,0,0,1,100,10.56,5
Astapor,0,1,0,1,1/24/2014,Friday,6,NaN,1,1/25/2014,0,0,1,0,0,100,3.95,4
Winterfell,0,0,1,2,1/28/2014,Tuesday,3,5,1,1/29/2014,0,1,0,0,0,100,2.04,5
Winterfell,0,0,1,2,1/21/2014,Tuesday,3,4.5,1,2/1/2014,0,0,1,0,0,100,4.36,5
Winterfell,0,0,1,1,1/3/2014,Friday,6,NaN,1,1/5/2014,0,0,1,0,0,0,2.37,5
Winterfell,0,0,1,1,1/13/2014,Monday,2,5,1,5/30/2014,0,1,0,0,1,100,4.28,4.9
Winterfell,0,0,1,3,1/6/2014,Monday,2,4,1,1/10/2014,0,1,0,0,0,100,3.81,5
Winterfell,0,0,1,1,1/15/2014,Wednesday,4,NaN,1,3/12/2014,0,1,0,0,0,100,20.29,5
King's Landing,1,0,0,0,1/29/2014,Wednesday,4,4,1.38,6/8/2014,1,1,0,50,0,50,3.04,5
Astapor,0,1,0,1,1/27/2014,Monday,2,NaN,1,1/28/2014,0,0,1,0,0,100,26.01,5
Winterfell,0,0,1,1,1/15/2014,Wednesday,4,NaN,1,1/16/2014,0,0,1,0,1,100,13.2,5
King's Landing,1,0,0,1,1/11/2014,Saturday,7,5,1,6/28/2014,1,0,1,0,1,50,10.86,3
King's Landing,1,0,0,0,1/12/2014,Sunday,1,3.9,1,7/1/2014,1,1,0,0,1,95.2,2.38,4.8
King's Landing,1,0,0,6,1/28/2014,Tuesday,3,4.6,1.21,6/24/2014,1,1,0,30.8,1,80.8,6.83,4.8
King's Landing,1,0,0,0,1/2/2014,Thursday,5,5,1.17,6/3/2014,1,1,0,33.3,0,66.7,12.08,5
Winterfell,0,0,1,1,1/31/2014,Friday,6,NaN,1,3/16/2014,0,0,1,0,0,50,2.53,3
Astapor,0,1,0,1,1/9/2014,Thursday,5,NaN,1,4/29/2014,0,1,0,0,0,100,3.31,5
Winterfell,0,0,1,0,1/24/2014,Friday,6,NaN,1,5/2/2014,0,1,0,0,0,100,11.47,5
King's Landing,1,0,0,0,1/21/2014,Tuesday,3,5,1,6/13/2014,1,0,1,0,1,100,7.74,5
Astapor,0,1,0,4,1/19/2014,Sunday,1,4.5,1.02,5/18/2014,0,1,0,9.1,0,36.4,2.1,4.7
Winterfell,0,0,1,1,1/2/2014,Thursday,5,NaN,1,1/3/2014,0,1,0,0,1,100,14.48,5
Astapor,0,1,0,1,1/16/2014,Thursday,5,4,1,1/22/2014,0,0,1,0,0,100,1.66,5
Winterfell,0,0,1,3,1/19/2014,Sunday,1,5,1.05,3/5/2014,0,1,0,20,0,100,3.05,5
