"state","county","primary_city","zip"
"CA","Los Angeles County","Los Angeles",90001
"CA","Los Angeles County","Los Angeles",90002
"CA","Los Angeles County","Los Angeles",90003
"CA","Los Angeles County","Los Angeles",90004
"CA","Los Angeles County","Los Angeles",90005
"CA","Los Angeles County","Los Angeles",90006
"CA","Los Angeles County","Los Angeles",90007
"CA","Los Angeles County","Los Angeles",90008
"CA","Los Angeles County","Los Angeles",90009
"CA","Los Angeles County","Los Angeles",90010
"CA","Los Angeles County","Los Angeles",90011
"CA","Los Angeles County","Los Angeles",90012
"CA","Los Angeles County","Los Angeles",90013
"CA","Los Angeles County","Los Angeles",90014
"CA","Los Angeles County","Los Angeles",90015
"CA","Los Angeles County","Los Angeles",90016
"CA","Los Angeles County","Los Angeles",90017
"CA","Los Angeles County","Los Angeles",90018
"CA","Los Angeles County","Los Angeles",90019
"CA","Los Angeles County","Los Angeles",90020
"CA","Los Angeles County","Los Angeles",90021
"CA","Los Angeles County","Los Angeles",90022
"CA","Los Angeles County","Los Angeles",90023
"CA","Los Angeles County","Los Angeles",90024
"CA","Los Angeles County","Los Angeles",90025
"CA","Los Angeles County","Los Angeles",90026
"CA","Los Angeles County","Los Angeles",90027
"CA","Los Angeles County","Los Angeles",90028
"CA","Los Angeles County","Los Angeles",90029
"CA","Los Angeles County","Los Angeles",90030
"CA","Los Angeles County","Los Angeles",90031
"CA","Los Angeles County","Los Angeles",90032
"CA","Los Angeles County","Los Angeles",90033
"CA","Los Angeles County","Los Angeles",90034
"CA","Los Angeles County","Los Angeles",90035
"CA","Los Angeles County","Los Angeles",90036
"CA","Los Angeles County","Los Angeles",90037
"CA","Los Angeles County","Los Angeles",90038
"CA","Los Angeles County","Los Angeles",90039
"CA","Los Angeles County","Los Angeles",90040
"CA","Los Angeles County","Los Angeles",90041
"CA","Los Angeles County","Los Angeles",90042
"CA","Los Angeles County","Los Angeles",90043
"CA","Los Angeles County","Los Angeles",90044
"CA","Los Angeles County","Los Angeles",90045
"CA","Los Angeles County","Los Angeles",90046
"CA","Los Angeles County","Los Angeles",90047
"CA","Los Angeles County","Los Angeles",90048
"CA","Los Angeles County","Los Angeles",90049
"CA","Los Angeles County","Los Angeles",90050
"CA","Los Angeles County","Los Angeles",90051
"CA","Los Angeles County","Los Angeles",90052
"CA","Los Angeles County","Los Angeles",90053
"CA","Los Angeles County","Los Angeles",90054
"CA","Los Angeles County","Los Angeles",90055
"CA","Los Angeles County","Los Angeles",90056
"CA","Los Angeles County","Los Angeles",90057
"CA","Los Angeles County","Los Angeles",90058
"CA","Los Angeles County","Los Angeles",90059
"CA","Los Angeles County","Los Angeles",90060
"CA","Los Angeles County","Los Angeles",90061
"CA","Los Angeles County","Los Angeles",90062
"CA","Los Angeles County","Los Angeles",90063
"CA","Los Angeles County","Los Angeles",90064
"CA","Los Angeles County","Los Angeles",90065
"CA","Los Angeles County","Los Angeles",90066
"CA","Los Angeles County","Los Angeles",90067
"CA","Los Angeles County","Los Angeles",90068
"CA","Los Angeles County","West Hollywood",90069
"CA","Los Angeles County","Los Angeles",90070
"CA","Los Angeles County","Los Angeles",90071
