GHCND:USC00045280,STATION,STATION_NAME,DATE,YEAR,MONTH,DAY,MDPR,MDSF,DAPR,DASF,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WT01,WT05,WT04,WT03
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19931201,1993,12,1,-9999,-9999,-9999,-9999,-9999,127,-9999,89,11,11,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19931202,1993,12,2,-9999,-9999,-9999,-9999,-9999,127,-9999,72,-94,28,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19931203,1993,12,3,-9999,-9999,-9999,-9999,-9999,51,-9999,106,-39,-28,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19931204,1993,12,4,-9999,-9999,-9999,-9999,-9999,0,-9999,150,0,72,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19931206,1993,12,6,-9999,-9999,-9999,-9999,-9999,76,-9999,33,-106,22,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19931207,1993,12,7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,61,-83,39,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19931208,1993,12,8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,78,-33,28,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19931209,1993,12,9,-9999,-9999,-9999,-9999,-9999,102,0,100,-33,22,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19931210,1993,12,10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,117,-67,61,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19931211,1993,12,11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,67,-50,33,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19931213,1993,12,13,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11,-117,-61,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19931214,1993,12,14,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-22,-50,-50,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19931215,1993,12,15,-9999,-9999,-9999,-9999,-9999,330,127,-17,-139,-100,-9999,-9999,-9999,-9999
