date,device,cost,rfi_revenue,clicks,conversions,impressions
20130102,IPOD,41.26338604,226.8593,141,0,89198
20130402,UNKNOWN,412.3402302,1015.8586,431,402.9568,436903
20130423,ANDROID_MOBILE,9041.628172,22149.27247,14619,1977.44,8534829
20130424,COMPUTER,257387.6864,576159.2102,127801,348559.72,280746542
20130507,ANDROID_MOBILE,8477.203844,22605.80642,14670,2309.37,8771784
20130508,COMPUTER,242868.5107,550797.2032,125453,354203.534,265743550
20130515,BLACKBERRY,148.1238855,625.98225,312,35.07,298685
20130529,IPOD,180.8473523,706.463,391,2,292629
20130602,IPHONE,3645.42924,12676.1318,7666,257,4648571
20130620,IPAD,7402.060873,31271.03049,19261,2950.288,14511358
20130704,IPAD,11348.92416,46328.00759,36968,1938.345,19278483
20130711,NULL,2.420261285,4.46622,1,0,3519
20130715,PSP,0.100925646,1.08345,0,0,475
20130803,MOBILE,222.0627864,1309.899163,3788,499.95,487768
20130829,UNKNOWN,981.7362138,2186.196955,1200,2314.462,971341
20130922,GOOGLE_TV,37.07480748,139.4995354,37,23.1,53884
20130922,PALM,2.191947129,4.50917,1,0,1578
20131004,ANDROID_MOBILE,13964.24262,43526.47649,30174,4078.57,18697174
20131005,COMPUTER,213208.3977,569482.4677,146147,388332.865,264497215
20131026,IPOD,168.3516845,945.5128757,1348,11.002,415008
20131201,IPAD,19601.43599,81468.09709,33173,6156.63,32723306
20131212,PSP,0.500164443,1.740902311,0,2,790
20131223,TABLET,0.548259081,1.72686,2,0,640
20130114,GOOGLE_TV,14.38960067,56.38507,13,57,22165
20130114,PALM,1.319740847,3.92933,3,0,1407
20130219,WINDOWS_MOBILE,105.0742519,288.87676,132,18.55,108727
20130223,WII,2.885440044,9.74233,2,0,3605
20130307,WII,0.839891227,4.3669,2,0,1759
20130324,KINDLE,0.450698781,0.79075,0,0,322
20130408,KINDLE,0.10647427,0.75468,0,0,331
20130526,BLACKBERRY_TABLET,873.3128229,810.02545,2160,109.178,356289
20130623,ANDROID_TABLET,1176.769377,2768.05264,1854,822.79,1159097
20130627,ROKU,0.04757,0,0,0,5
