"","date","device","cost","rfi_revenue","clicks","conversions","impressions","month","year"
"1",2013-01-02,"IPOD",41.26338604,"226.8593",141,0,89198,"Jan",2013
"2",2013-04-02,"UNKNOWN",412.3402302,"1015.8586",431,402.9568,436903,"Apr",2013
"3",2013-04-23,"ANDROID_MOBILE",9041.628172,"22149.27247",14619,1977.44,8534829,"Apr",2013
"4",2013-04-24,"COMPUTER",257387.6864,"576159.2102",127801,348559.72,280746542,"Apr",2013
"5",2013-05-07,"ANDROID_MOBILE",8477.203844,"22605.80642",14670,2309.37,8771784,"May",2013
"6",2013-05-08,"COMPUTER",242868.5107,"550797.2032",125453,354203.534,265743550,"May",2013
"7",2013-05-15,"BLACKBERRY",148.1238855,"625.98225",312,35.07,298685,"May",2013
"8",2013-05-29,"IPOD",180.8473523,"706.463",391,2,292629,"May",2013
"9",2013-06-02,"IPHONE",3645.42924,"12676.1318",7666,257,4648571,"Jun",2013
"10",2013-06-20,"IPAD",7402.060873,"31271.03049",19261,2950.288,14511358,"Jun",2013
"11",2013-07-04,"IPAD",11348.92416,"46328.00759",36968,1938.345,19278483,"Jul",2013
"12",2013-07-11,"NULL",2.420261285,"4.46622",1,0,3519,"Jul",2013
"13",2013-07-15,"PSP",0.100925646,"1.08345",0,0,475,"Jul",2013
"14",2013-08-03,"MOBILE",222.0627864,"1309.899163",3788,499.95,487768,"Aug",2013
"15",2013-08-29,"UNKNOWN",981.7362138,"2186.196955",1200,2314.462,971341,"Aug",2013
"16",2013-09-22,"GOOGLE_TV",37.07480748,"139.4995354",37,23.1,53884,"Sep",2013
"17",2013-09-22,"PALM",2.191947129,"4.50917",1,0,1578,"Sep",2013
"18",2013-10-04,"ANDROID_MOBILE",13964.24262,"43526.47649",30174,4078.57,18697174,"Oct",2013
"19",2013-10-05,"COMPUTER",213208.3977,"569482.4677",146147,388332.865,264497215,"Oct",2013
"20",2013-10-26,"IPOD",168.3516845,"945.5128757",1348,11.002,415008,"Oct",2013
"21",2013-12-01,"IPAD",19601.43599,"81468.09709",33173,6156.63,32723306,"Dec",2013
"22",2013-12-12,"PSP",0.500164443,"1.740902311",0,2,790,"Dec",2013
"23",2013-12-23,"TABLET",0.548259081,"1.72686",2,0,640,"Dec",2013
"24",2013-01-14,"GOOGLE_TV",14.38960067,"56.38507",13,57,22165,"Jan",2013
"25",2013-01-14,"PALM",1.319740847,"3.92933",3,0,1407,"Jan",2013
"26",2013-02-19,"WINDOWS_MOBILE",105.0742519,"288.87676",132,18.55,108727,"Feb",2013
"27",2013-02-23,"WII",2.885440044,"9.74233",2,0,3605,"Feb",2013
"28",2013-03-07,"WII",0.839891227,"4.3669",2,0,1759,"Mar",2013
"29",2013-03-24,"KINDLE",0.450698781,"0.79075",0,0,322,"Mar",2013
"30",2013-04-08,"KINDLE",0.10647427,"0.75468",0,0,331,"Apr",2013
"31",2013-05-26,"BLACKBERRY_TABLET",873.3128229,"810.02545",2160,109.178,356289,"May",2013
"32",2013-06-23,"ANDROID_TABLET",1176.769377,"2768.05264",1854,822.79,1159097,"Jun",2013
"33",2013-06-27,"ROKU",0.04757,"0",0,0,5,"Jun",2013
"34",2013-07-01,"COMPUTER",210397.1396,"522183.8111",104338,379674.095,240511544,"Jul",2013
"35",2013-07-07,"ANDROID_TABLET",957.3915613,"2746.03683",1812,277.565,1113542,"Jul",2013
"36",2013-07-22,"IPOD",363.4769246,"1742.717267",2411,10.05,697117,"Jul",2013
"37",2013-08-06,"IPOD",465.7859,"2572.634534",1557,17.17,1352854,"Aug",2013
"38",2013-10-23,"BLACKBERRY_TABLET",992.4978324,"885.9680703",1786,327.71,324729,"Oct",2013
"39",2013-11-07,"BLACKBERRY_TABLET",831.8524306,"822.2651347",1954,299.05,316414,"Nov",2013
"40",2013-11-20,"ANDROID_TABLET",5044.379043,"10648.51243",8566,1801.42,4255865,"Nov",2013
"41",2013-12-04,"ANDROID_TABLET",5723.063122,"11477.46051",8735,1713.52,5060478,"Dec",2013
"42",2013-01-30,"UNKNOWN",131.8095996,"1009.51661",386,80.6,400866,"Jan",2013
"43",2013-02-14,"UNKNOWN",353.9019728,"1430.72837",459,267.12,579260,"Feb",2013
"44",2013-03-19,"ANDROID_MOBILE",5582.160851,"16735.74029",14617,2479.106,6898062,"Mar",2013
"45",2013-03-27,"BLACKBERRY",143.6836054,"404.32456",99,8,194555,"Mar",2013
"46",2013-03-30,"IPHONE",794.5148883,"2029.74832",1155,231.11,777146,"Mar",2013
"47",2013-04-12,"WINDOWS_MOBILE",136.7243836,"292.84738",148,10,114724,"Apr",2013
"48",2013-04-14,"IPHONE",1117.988804,"4180.99303",5115,467.32,1599716,"Apr",2013
"49",2013-05-16,"IPAD",5322.505035,"16014.99851",9963,1212.638,7486194,"May",2013
"50",2013-05-23,"NULL",2.498796504,"5.63812",1,2,2493,"May",2013
"51",2013-05-27,"PSP",0.672741388,"0.72776",0,0,305,"May",2013
"52",2013-05-31,"MOBILE",69.07695036,"280.58933",79,5,108149,"May",2013
"53",2013-06-01,"KINDLE",0.276493486,"1.10254",0,0,383,"Jun",2013
"54",2013-06-07,"NULL",1.699668293,"3.64465",2,0,1728,"Jun",2013
"55",2013-06-15,"MOBILE",65.27301788,"249.49917",123,7,99515,"Jun",2013
"56",2013-08-03,"BLACKBERRY_TABLET",590.6234469,"629.704192",1795,250.09,280039,"Aug",2013
"57",2013-08-18,"GOOGLE_TV",49.67653518,"132.778501",70,126.1,51189,"Aug",2013
"58",2013-08-18,"PALM",1.1422,"2.953703",3,0,1123,"Aug",2013
"59",2013-09-27,"WII",1.823614544,"10.90195207",0,0,5949,"Sep",2013
"60",2013-10-13,"IPAD",7731.888762,"27600.41944",18607,3753.28,11915503,"Oct",2013
"61",2013-10-20,"NULL",104.3312528,"404.3633018",599,0,157809,"Oct",2013
"62",2013-10-24,"PSP",0.289060329,"1.204921801",0,0,472,"Oct",2013
"63",2013-11-04,"NULL",225.0429595,"1912.446583",1159,0,754466,"Nov",2013
"64",2013-11-08,"PSP",0.097174375,"1.08423",0,0,390,"Nov",2013
"65",2013-11-12,"BLACKBERRY",226.5814174,"1120.23805",557,26.01,501628,"Nov",2013
"66",2013-11-12,"MOBILE",128.5629733,"527.452487",270,15.7,216008,"Nov",2013
"67",2013-11-19,"TABLET",0.006418261,"0.02835",0,0,6,"Nov",2013
"68",2013-12-31,"GOOGLE_TV",68.85310586,"172.7609394",41,78.3,74326,"Dec",2013
"69",2013-12-31,"PALM",1.207547809,"2.89801",1,0,1051,"Dec",2013
"70",2013-01-19,"WII",0.531098591,"3.31876",1,0,1420,"Jan",2013
"71",2013-05-12,"ANDROID_MOBILE",10349.18987,"27047.06724",17717,2479.626,10054615,"May",2013
"72",2013-05-13,"COMPUTER",246334.4565,"562096.9118",137498,295510.976,264396599,"May",2013
"73",2013-05-19,"ANDROID_TABLET",1089.914444,"1925.12895",1387,305.838,728753,"May",2013
"74",2013-05-20,"BLACKBERRY",161.8083154,"629.97893",375,18,307201,"May",2013
"75",2013-06-04,"BLACKBERRY",121.3626355,"492.52482",634,7,236775,"Jun",2013
"76",2013-06-18,"IPOD",144.9507911,"781.59931",529,8,229439,"Jun",2013
"77",2013-07-20,"PSP",0.254538398,"1.75082",1,0,760,"Jul",2013
"78",2013-08-04,"PSP",0.156948377,"1.02005",0,0,383,"Aug",2013
"79",2013-09-18,"UNKNOWN",861.0735507,"2339.279989",1145,529.547,1059530,"Sep",2013
"80",2013-10-10,"COMPUTER",258656.3005,"652938.5834",154386,902095.42,290464643,"Oct",2013
"81",2013-10-16,"ANDROID_TABLET",1063.804273,"2401.326981",1611,729.49,746381,"Oct",2013
"82",2013-10-31,"IPOD",184.2926426,"990.9539856",1757,9.854,416676,"Oct",2013
