data_date,campaign_id,line_item_id,flight_id,rfiImps,vImps,vPct,objective_impressions,vCPM,flight_label,flight_start_date,flight_end_date,line_item_label,campaign_label,campaign_label_id
2/1/2015,36387,125169,86125,109070,81415,0.7464,1753422,0,Feb 1 '15 - Feb 28 '15,2/1/2015 0:00,2/28/2015 23:59,Contextual and Demo Targeting,DIZ/DCL/057_USA_FY15_DCL Port Canaveral Activate Display. Sep - Sep 2015,DIZ/DCL/057_USA_FY15_DCL Port Canaveral Activate Display. Sep - Sep 2015 - 36387
2/2/2015,36387,125169,86125,136227,96565,0.7089,1753422,0,Feb 1 '15 - Feb 28 '15,2/1/2015 0:00,2/28/2015 23:59,Contextual and Demo Targeting,DIZ/DCL/057_USA_FY15_DCL Port Canaveral Activate Display. Sep - Sep 2015,DIZ/DCL/057_USA_FY15_DCL Port Canaveral Activate Display. Sep - Sep 2015 - 36387
2/3/2015,36387,125169,86125,105321,80962,0.7687,1753422,0,Feb 1 '15 - Feb 28 '15,2/1/2015 0:00,2/28/2015 23:59,Contextual and Demo Targeting,DIZ/DCL/057_USA_FY15_DCL Port Canaveral Activate Display. Sep - Sep 2015,DIZ/DCL/057_USA_FY15_DCL Port Canaveral Activate Display. Sep - Sep 2015 - 36387
2/4/2015,36387,125169,86125,124397,96473,0.7755,1753422,0,Feb 1 '15 - Feb 28 '15,2/1/2015 0:00,2/28/2015 23:59,Contextual and Demo Targeting,DIZ/DCL/057_USA_FY15_DCL Port Canaveral Activate Display. Sep - Sep 2015,DIZ/DCL/057_USA_FY15_DCL Port Canaveral Activate Display. Sep - Sep 2015 - 36387
2/5/2015,36387,125169,86125,110128,87586,0.7953,1753422,0,Feb 1 '15 - Feb 28 '15,2/1/2015 0:00,2/28/2015 23:59,Contextual and Demo Targeting,DIZ/DCL/057_USA_FY15_DCL Port Canaveral Activate Display. Sep - Sep 2015,DIZ/DCL/057_USA_FY15_DCL Port Canaveral Activate Display. Sep - Sep 2015 - 36387
2/6/2015,36387,125169,86125,124550,97506,0.7829,1753422,0,Feb 1 '15 - Feb 28 '15,2/1/2015 0:00,2/28/2015 23:59,Contextual and Demo Targeting,DIZ/DCL/057_USA_FY15_DCL Port Canaveral Activate Display. Sep - Sep 2015,DIZ/DCL/057_USA_FY15_DCL Port Canaveral Activate Display. Sep - Sep 2015 - 36387
2/7/2015,36387,125169,86125,95488,72875,0.7632,1753422,0,Feb 1 '15 - Feb 28 '15,2/1/2015 0:00,2/28/2015 23:59,Contextual and Demo Targeting,DIZ/DCL/057_USA_FY15_DCL Port Canaveral Activate Display. Sep - Sep 2015,DIZ/DCL/057_USA_FY15_DCL Port Canaveral Activate Display. Sep - Sep 2015 - 36387
2/8/2015,36387,125169,86125,92909,71311,0.7675,1753422,0,Feb 1 '15 - Feb 28 '15,2/1/2015 0:00,2/28/2015 23:59,Contextual and Demo Targeting,DIZ/DCL/057_USA_FY15_DCL Port Canaveral Activate Display. Sep - Sep 2015,DIZ/DCL/057_USA_FY15_DCL Port Canaveral Activate Display. Sep - Sep 2015 - 36387
2/9/2015,36387,125169,86125,122596,98036,0.7997,1753422,0,Feb 1 '15 - Feb 28 '15,2/1/2015 0:00,2/28/2015 23:59,Contextual and Demo Targeting,DIZ/DCL/057_USA_FY15_DCL Port Canaveral Activate Display. Sep - Sep 2015,DIZ/DCL/057_USA_FY15_DCL Port Canaveral Activate Display. Sep - Sep 2015 - 36387
2/10/2015,36387,125169,86125,112169,88988,0.7933,1753422,0,Feb 1 '15 - Feb 28 '15,2/1/2015 0:00,2/28/2015 23:59,Contextual and Demo Targeting,DIZ/DCL/057_USA_FY15_DCL Port Canaveral Activate Display. Sep - Sep 2015,DIZ/DCL/057_USA_FY15_DCL Port Canaveral Activate Display. Sep - Sep 2015 - 36387
2/11/2015,36387,125169,86125,102131,81198,0.795,1753422,0,Feb 1 '15 - Feb 28 '15,2/1/2015 0:00,2/28/2015 23:59,Contextual and Demo Targeting,DIZ/DCL/057_USA_FY15_DCL Port Canaveral Activate Display. Sep - Sep 2015,DIZ/DCL/057_USA_FY15_DCL Port Canaveral Activate Display. Sep - Sep 2015 - 36387
2/12/2015,36387,125169,86125,83919,68016,0.8105,1753422,0,Feb 1 '15 - Feb 28 '15,2/1/2015 0:00,2/28/2015 23:59,Contextual and Demo Targeting,DIZ/DCL/057_USA_FY15_DCL Port Canaveral Activate Display. Sep - Sep 2015,DIZ/DCL/057_USA_FY15_DCL Port Canaveral Activate Display. Sep - Sep 2015 - 36387
2/13/2015,36387,125169,86125,75869,59938,0.79,1753422,0,Feb 1 '15 - Feb 28 '15,2/1/2015 0:00,2/28/2015 23:59,Contextual and Demo Targeting,DIZ/DCL/057_USA_FY15_DCL Port Canaveral Activate Display. Sep - Sep 2015,DIZ/DCL/057_USA_FY15_DCL Port Canaveral Activate Display. Sep - Sep 2015 - 36387
2/14/2015,36387,125169,86125,60926,45317,0.7438,1753422,0,Feb 1 '15 - Feb 28 '15,2/1/2015 0:00,2/28/2015 23:59,Contextual and Demo Targeting,DIZ/DCL/057_USA_FY15_DCL Port Canaveral Activate Display. Sep - Sep 2015,DIZ/DCL/057_USA_FY15_DCL Port Canaveral Activate Display. Sep - Sep 2015 - 36387
2/15/2015,36387,125169,86125,74194,57290,0.7722,1753422,0,Feb 1 '15 - Feb 28 '15,2/1/2015 0:00,2/28/2015 23:59,Contextual and Demo Targeting,DIZ/DCL/057_USA_FY15_DCL Port Canaveral Activate Display. Sep - Sep 2015,DIZ/DCL/057_USA_FY15_DCL Port Canaveral Activate Display. Sep - Sep 2015 - 36387
2/16/2015,36387,125169,86125,93933,71318,0.7592,1753422,0,Feb 1 '15 - Feb 28 '15,2/1/2015 0:00,2/28/2015 23:59,Contextual and Demo Targeting,DIZ/DCL/057_USA_FY15_DCL Port Canaveral Activate Display. Sep - Sep 2015,DIZ/DCL/057_USA_FY15_DCL Port Canaveral Activate Display. Sep - Sep 2015 - 36387
2/17/2015,36387,125169,86125,92333,71315,0.7724,1753422,0,Feb 1 '15 - Feb 28 '15,2/1/2015 0:00,2/28/2015 23:59,Contextual and Demo Targeting,DIZ/DCL/057_USA_FY15_DCL Port Canaveral Activate Display. Sep - Sep 2015,DIZ/DCL/057_USA_FY15_DCL Port Canaveral Activate Display. Sep - Sep 2015 - 36387
2/18/2015,36387,125169,86125,73084,56457,0.7725,1753422,0,Feb 1 '15 - Feb 28 '15,2/1/2015 0:00,2/28/2015 23:59,Contextual and Demo Targeting,DIZ/DCL/057_USA_FY15_DCL Port Canaveral Activate Display. Sep - Sep 2015,DIZ/DCL/057_USA_FY15_DCL Port Canaveral Activate Display. Sep - Sep 2015 - 36387
2/19/2015,36387,125169,86125,61253,47601,0.7771,1753422,0,Feb 1 '15 - Feb 28 '15,2/1/2015 0:00,2/28/2015 23:59,Contextual and Demo Targeting,DIZ/DCL/057_USA_FY15_DCL Port Canaveral Activate Display. Sep - Sep 2015,DIZ/DCL/057_USA_FY15_DCL Port Canaveral Activate Display. Sep - Sep 2015 - 36387
2/1/2015,34461,118261,81125,32327,23368,0.7229,854701,4.4,Feb 1 '15 - Feb 28 '15,2/1/2015 0:00,2/28/2015 23:59,PAID,Ikea (MEC) GM B&B Q4. Sep 2014 - Aug 2015 ,Ikea (MEC) GM B&B Q4. Sep 2014 - Aug 2015  - 34461
2/2/2015,34461,118261,81125,58015,40073,0.6907,854701,4.4,Feb 1 '15 - Feb 28 '15,2/1/2015 0:00,2/28/2015 23:59,PAID,Ikea (MEC) GM B&B Q4. Sep 2014 - Aug 2015 ,Ikea (MEC) GM B&B Q4. Sep 2014 - Aug 2015  - 34461
2/3/2015,34461,118261,81125,47940,29874,0.6232,854701,4.4,Feb 1 '15 - Feb 28 '15,2/1/2015 0:00,2/28/2015 23:59,PAID,Ikea (MEC) GM B&B Q4. Sep 2014 - Aug 2015 ,Ikea (MEC) GM B&B Q4. Sep 2014 - Aug 2015  - 34461
2/4/2015,34461,118261,81125,48513,34447,0.7101,854701,4.4,Feb 1 '15 - Feb 28 '15,2/1/2015 0:00,2/28/2015 23:59,PAID,Ikea (MEC) GM B&B Q4. Sep 2014 - Aug 2015 ,Ikea (MEC) GM B&B Q4. Sep 2014 - Aug 2015  - 34461
2/5/2015,34461,118261,81125,48172,40170,0.8339,854701,4.4,Feb 1 '15 - Feb 28 '15,2/1/2015 0:00,2/28/2015 23:59,PAID,Ikea (MEC) GM B&B Q4. Sep 2014 - Aug 2015 ,Ikea (MEC) GM B&B Q4. Sep 2014 - Aug 2015  - 34461
2/6/2015,34461,118261,81125,48182,36924,0.7663,854701,4.4,Feb 1 '15 - Feb 28 '15,2/1/2015 0:00,2/28/2015 23:59,PAID,Ikea (MEC) GM B&B Q4. Sep 2014 - Aug 2015 ,Ikea (MEC) GM B&B Q4. Sep 2014 - Aug 2015  - 34461
2/7/2015,34461,118261,81125,47368,38706,0.8171,854701,4.4,Feb 1 '15 - Feb 28 '15,2/1/2015 0:00,2/28/2015 23:59,PAID,Ikea (MEC) GM B&B Q4. Sep 2014 - Aug 2015 ,Ikea (MEC) GM B&B Q4. Sep 2014 - Aug 2015  - 34461
2/8/2015,34461,118261,81125,46653,40390,0.8658,854701,4.4,Feb 1 '15 - Feb 28 '15,2/1/2015 0:00,2/28/2015 23:59,PAID,Ikea (MEC) GM B&B Q4. Sep 2014 - Aug 2015 ,Ikea (MEC) GM B&B Q4. Sep 2014 - Aug 2015  - 34461
2/9/2015,34461,118261,81125,43675,38195,0.8745,854701,4.4,Feb 1 '15 - Feb 28 '15,2/1/2015 0:00,2/28/2015 23:59,PAID,Ikea (MEC) GM B&B Q4. Sep 2014 - Aug 2015 ,Ikea (MEC) GM B&B Q4. Sep 2014 - Aug 2015  - 34461
